chairid,conferenceid
53f45a4cdabfaedf4361a39c,318d3243-2775-43ca-9ce8-52b79bb0e9cb
53f4263fdabfaeb1a7b54775,cdeb2430-4920-4648-9b04-2fb1093a4f84
53f437dbdabfaec09f18a9db,c2205631-7cfe-4ba1-b9c7-4c13ab9f39e3
560204d545cedb3395ef3c59,2af50665-0005-42c0-bb5d-87e24e2385d7
53f4653ddabfaee4dc84957a,daeb9b73-d9dd-4084-a1f6-fd224b315e9b
54110d7ddabfae92b42b7903,ef40f9bc-36d2-4083-b369-6e5e3054f05c
53f42fbadabfaec09f132017,66a4d82b-2dee-484a-8a71-77fe95a27277
53f45688dabfaeecd69eb9be,5d74df06-34bd-4e37-9a8b-f05d60467235
53f32cbddabfae9a84496b6e,f3cd7155-fdc6-4018-8065-9e0c4f6c510a
53f42e3bdabfaedd74d41ce3,54e1cc32-6625-4163-9a60-3de0cb16d98d
53f47e4ddabfaeb1a7cd06fb,50776682-0887-41dc-8aad-2f61040a339e
53f44b27dabfaefedbb26bec,79f278aa-d8fd-42d9-8bb1-ebcc7c1c94d2
53f320e3dabfae9a844554f2,feef7125-47fb-4ae3-af58-53d781305d9d
53f43581dabfaeb1a7bec3d7,c18a4c0f-a825-46da-a902-387b68fe9d0d
542a6215dabfae646d5599b4,9acc2be4-78a4-4949-85d7-99c38267e567
53f43dcedabfaee2a1d1e1b2,d1c1f980-4068-42c6-8c3d-b67ea24eea15
53f39e98dabfae4b34aaaf0e,f076bb25-fac2-488e-b022-86d0ca50154a
53f43826dabfaee02acda7ae,029dbae1-e587-4a9e-bfc9-32e8c99bbee2
53f43859dabfaedd74db2bda,3b8fcdb4-75ad-47e4-8bc8-cf8d462b8a10
56017d0a45cedb3395e6340f,f72554ac-d80c-4872-b857-dbf784361ae2
53f4658cdabfaefedbb85660,ab6b9a79-a0b9-4d1b-ac94-39743be80c97
53f457fbdabfaedf43611b78,869bffc5-1e17-4937-b931-70e4c9964f6e
53f43777dabfaedce5538e31,d2f6d766-3b2d-4abd-a0b0-adbcae3ea1b2
53f45e6fdabfaec09f221f1c,f0b19833-ee7c-4827-b7b3-7f0e9a000c55
53f42ec1dabfaedce54d73f2,0a2cc1d5-61af-4327-bab6-d9bd1768d2de
53f43142dabfaeb1a7bbc78c,dec2d462-053e-4e7b-b028-c3831195e1e0
53f37c28dabfae4b349e61d6,bcd4f72c-69c7-4009-b3f1-e99af8bc8fde
53f435b8dabfaee4dc77d905,fdf0223c-ee99-4861-93c7-179993b3d95e
53f430dadabfaee02ac8cc1d,b349a5d0-abe3-4623-a43f-54f6ccccd3a2
53f437bddabfaedf4358beb3,bc29ea38-5e52-481f-bc3b-b01c2a9523fb
53f45294dabfaeee22a26002,4f4091f8-e5b7-4cc0-859d-a3af5f73dd95
53f375b5dabfae4b349d0175,b669aff4-a96a-4cda-9a78-ca9c62020f04
56018fa445cedb3395e79f1b,380dbdb3-0ed5-4394-9b3e-c4c32bff8271
542ac322dabfae61d49a4bb9,c4d4aade-3f0b-465a-ac05-d501275a5bc2
53f3adf1dabfae4b34b094a4,2f3ef31a-b0a8-4477-8030-515e697cb234
540972a1dabfae8faa692769,a10813ac-ce15-4c21-974b-f4b37dfc76cc
54069373dabfae44f08428f8,35c9ce73-6c95-45e5-a7a1-543749498439
53f440ecdabfaeb22f4af153,8355338e-e703-467d-b3bf-51ced12f357e
53f43674dabfaeee229ab7d0,74437b81-1b93-4cd1-bb29-6caf4ae75585
54408d0bdabfae7d84b7f81b,323d9e09-2b68-4c50-982a-302b9b487010
53f42e4adabfaee0d9b08c7b,2e9e0cae-554d-4ef0-9827-07489840d233
53f432f1dabfaeb1a7bd1226,75b1eb9f-9d29-400a-880f-af3a33c439a2
53f45653dabfaee0d9bf3e9b,261bf396-06ba-4701-aae9-d34f63f12dd0
53f459cedabfaee43ecc9342,f82e00d9-2ab0-4558-b848-be33d89eb102
53f446bfdabfaee0d9bb46b7,45739f22-737e-480c-915a-b5ee4d58e11d
5601a95645cedb3395e88d9a,5752dbcf-0c38-42ac-beb6-099f02117eb3
53f43cf2dabfaeecd6994a98,38f16a65-ff0b-4894-8204-30ce8331bbfe
53f461fddabfaee43ece52e1,7b7d2776-b35a-462e-bdb6-1623fd451864
53f3227edabfae9a8445e412,0abb4b4e-4a4e-4ce0-9e67-cf6feaa5490a
5485866bdabfae9b4013375b,300ae553-dfcd-485e-9caf-b8cc5b56e02c
53f46288dabfaee2a1d9f4ef,47ad6362-a4be-4184-93f4-0630e0edfb60
53f43a8ddabfaedf435a6ced,bc0270f7-1380-446b-9d95-7ffab48493b7
53f376dbdabfae4b349d41b5,cd2dfdfe-56fa-4063-a8df-ce0fa9d8123a
53f468acdabfaee1c0b70c77,7780c75f-7016-4fed-8563-d9924adb4d97
53f4d8b7dabfaef64877b769,6b79c4ba-bc80-4d01-99c0-ee621f38d32c
53f4d002dabfaeeee9f814b3,9e82fe6d-887d-4851-b111-d295fca92aa9
53f4bcb4dabfaeda9b77b79d,c730e821-57ab-46d0-8117-d6c2b2a459d9
53f430fadabfaeb2ac01762d,4d065362-9b94-4c63-9d16-e8de0d98f82e
53f4325edabfaee4dc759085,11283863-6d59-4f47-8413-7e1212ad5848
53f47b81dabfaefedbbbdd1d,a8f8daff-9d1c-4512-84e0-9ab0a2db67f5
53f434a1dabfaedce551e8a1,d26c412d-f063-4f3b-9dd2-3da072f23ca0
53f4736ddabfaee02adc8221,59d12925-f8dc-480a-84f4-2b7523e1b1e4
