editorid,journalid
53f468e0dabfaee4dc858237,621ef1db-1f39-43fc-8848-bb366059bec4
53f43b25dabfaee43ec5e3b3,d3422460-690e-44bd-b35e-5a6d95afa7ea
53f46e38dabfaec09f25e6b2,5ce37a1b-8ac5-4a96-b41e-6640455f77ee
53f430dedabfaec22ba448f5,a22821d1-5518-4af4-bf4d-735a5632660d
53fa0045dabfae9467e1455b,5182ff57-eec1-4fd4-a955-79a15a287057
53f42dc0dabfaeb1a7b8feb4,7d603154-2024-4873-b35b-f304b622fb12
53f4390edabfaedd74db9f10,55530971-e1b2-467f-93f0-a5d9f63baa9c
53f79e4fdabfae9060ad31a8,db792fbb-91e7-47ae-a552-6204c36c3c4a
53f432a2dabfaedf43559099,1b1f3228-806a-43e2-9374-8973a6f43495
53f7c53edabfae8faa4b287a,e96d7fe4-ddb9-4867-a9ca-738f5338b7df
53f43144dabfaee4dc74ada3,d41fcc8e-c270-44f4-8892-4600a879eebb
54058c97dabfae92b41e2258,a4059e9a-b41e-4591-a24d-89853252e860
53f439bedabfaec09f19bf12,a89b523e-e59c-414b-881d-a78b6bb3fa44
53f45585dabfaedd74e2a845,9f55d3f9-2ab9-4310-8bbe-ded1948d5ba2
53f4c82fdabfaee57977d9fa,6c4d3f76-65d5-4fad-af2c-32bbf3e88d1c
5405c37cdabfae450f3cee27,0b712240-29f6-473d-93dd-a2e652426da8
53f44597dabfaee43ec7ac56,ed66f710-38cd-4a5e-90ad-5fe426d60107
548dd8ccdabfaef989f09178,b03d2764-90e4-49d7-a13e-4542d5d97c5b
54056221dabfae44f0807bf6,299bd8c0-10e2-45cd-90c0-6d78f667144f
5433e580dabfaebba582c585,3b1add2e-c2d2-483b-b0fe-974028c501c5
53f4503adabfaee4dc7f8eff,4ff6f04d-e714-4c66-8366-e1d210871382
53f43333dabfaee43ec0e9b1,82ee98c9-4857-4c75-8b18-d88aa9fd9090
53f43451dabfaeb1a7be049b,1c4b84aa-fcbc-4863-9a85-7c8fbd75310e
53f46445dabfaee4dc84551a,9750b82c-4075-4bb7-b07a-339a513134bc
53f437a0dabfaee4dc78de1e,408fe675-13be-4a95-b3cb-75a7a29cf1e7
53f43ac1dabfaee1c0ac7812,eb0d0c00-cdc9-4df9-83d5-b56402f23b80
53f43195dabfaee4dc74ecd9,b913dda3-4e51-4e71-b752-db343d6aedb5
53f467b3dabfaee02ad99fd5,241af18c-29ef-493e-a4ff-5a2a7ba29eb3
53f4622bdabfaee2a1d9de89,c581e444-3666-4685-a844-47b7b70b7d3b
53f42fe3dabfaee4dc738b6e,5009ed46-a631-4cb1-a75e-a82a9dda2471
53f430dddabfaedce54f1a59,c483919a-a01c-409b-b6c5-ed25e6d6d6aa
53f4406bdabfaeee229e7403,ef3efbc9-a67a-4e40-8440-d5c4126a3129
53f42f3fdabfaee02ac787cf,0ce7678b-017b-4b05-8d44-f299c27e325e
53f45062dabfaee43eca52a6,7eba631e-d077-414a-b1bb-a7b2c89681ed
53f3916bdabfae4b34a57517,394dcca2-b570-4339-bfba-344ef0a30b25
53f46ac3dabfaee4dc85fbf9,32afd4d8-6a83-444e-9a23-ab64a2975158
53f45de5dabfaeb22f51c824,68c877b4-10e7-4331-a875-1998e3402a38
53f44dfbdabfaeee22a14caa,41872238-ebe4-4a55-ac28-a21db048f232
53f4420edabfaee02ad0ad20,066af1a8-28ca-457c-baed-45aafb637fdf
53f4587cdabfaeb22f5091c6,204e7d4c-6376-4ddd-9a16-22ebcdf72b97
54480d43dabfae809f4d107b,3d82473b-0b2d-4c9e-9ef3-7d92e1269430
53f3b07adabfae4b34b1931b,1e0dea74-9e72-417d-87c0-ed14b32196bc
53f32865dabfae9a8447eb31,36a3ed16-246e-48f8-91d3-83cc6411349e
54067afadabfae92b4209b5e,f9934811-9db9-455f-b79b-8c7305eb604e
53f432f5dabfaec22ba5e423,f3b07703-e62a-4888-99f8-c05e82abc125
53f4500edabfaedd74e14dde,d599c989-5d20-473c-a79a-1d6d84f22817
53f47166dabfaee02adbfc41,bb40ca26-84ca-4196-b8f5-0305db943711
53f42eb5dabfaee1c0a44a04,abcf7137-72c7-4bbc-807a-606fcfcebbf4
53f32857dabfae9a8447e6b5,1eaa8026-3415-4326-ab7b-9f6a7ca115d7
53f4305ddabfaedf4353c2aa,5566ef69-fc41-4b4b-beb3-76497e25b426
548c4a49dabfae8a11fb4ae1,d87c687d-b862-4545-8387-5b44eda8d573
53f441bedabfaeb22f4b0899,55b03b5a-3a42-4d78-9577-c30752657258
53f42d57dabfaeb22f407950,1c3c9856-9d73-484e-955f-83a2fee44652
53f44053dabfaee0d9ba18b0,8d785037-f4a6-4257-8b03-b0ec6f9bddd5
53f4c98fdabfaedce56660aa,f5cfed44-652e-49a8-9f2e-ec3504d7f75f
53f45bb4dabfaee02ad6c698,762608a1-24b6-4644-a5a4-ab73117507d4
53f45b51dabfaee02ad6b040,c6d19cc7-1fed-4809-bb40-d7624797160b
53f42f2bdabfaedce54dc472,6c7e9e38-ee0e-454a-997b-d064fdf9e2f0
53f42db2dabfaee1c0a37bb9,9c1c42c8-fdca-4bf5-8f6a-d1e0de0fbcfd
53f449a1dabfaee0d9bc0835,c49ed15a-87a7-409a-a782-3b1e039078c9
53f39d57dabfae4b34aa2e23,12b82fb1-44b9-4c2d-b4f4-072e3d44c240
53f35e65dabfae4b3497b6b9,e20f9d12-b143-4d09-9447-fa8031768313
53f44c72dabfaee4dc7e9d9c,77436f5e-b1a9-410f-a4fd-112e818ab0ee
53f7b2aedabfae938c6d0df0,b6fde81d-b6c2-43e9-820c-ae3c28a3cd7b
53f42d4fdabfaee1c0a32746,80db8204-8a1a-48f0-af89-ce81273fef8a
53f42e8cdabfaee43ebd3b9c,b562603d-2cc6-4609-880e-a08998c6b4ef
53f42fdddabfaedf43535d55,3f75a1fa-536c-4e4c-97ba-5f843cf7ffda
5440e0a8dabfae805a701ac0,06f86fdf-1525-44b5-8699-645d744029a7
548c9afadabfaed7b5fa44e2,d6cec4f8-943b-42bf-ba3e-db3b6211be77
53f470f8dabfaec09f26897e,7b05874b-be3e-4d6e-a785-f7ab63b36bdf
53f43157dabfaedd74d6947e,681a1a5f-6342-4084-b061-cff51308e7dc
5601875245cedb3395e69f5d,3d0da1eb-8d03-4e29-8d5e-79f4bad2e8f5
53f430d0dabfaedce54f0fcc,b1b14265-3620-4f6b-b562-671148637525
53f46a15dabfaee4dc85d05b,46bde4fb-1488-4b27-80f0-0500ea781ea4
53f35c54dabfae4b34973b8c,849c4782-fc24-448c-85f6-48b64470a04c
560b9a8145cedb3397372d9b,93a1a5bf-542c-4ba4-8118-7449f89e6e92
53f4d66bdabfaeedd878483b,0f28200a-24f3-4dde-b86f-b5f62474a4a4
53f63313dabfaeeaf7c71628,d228aefe-7091-425b-b196-98b956b3222c
53f438e5dabfaeee229c2e9d,c532ed0a-ddcb-4852-8d25-c405dd9e709f
53f437c8dabfaedf4358c583,721c6648-52c8-49ec-9dc9-940d2b26ff8f
54056ec9dabfae8faa5d0f89,e166b6c6-2de9-4626-95c4-ae141511198d
53f9cd99dabfae7f97afecab,4a2b6f60-6161-4ac7-9d09-079bf3e8cdd3
53f3a94adabfae4b34aecd89,fdd968ff-539d-438d-af12-37c1920058de
53f38215dabfae4b349fbb65,2c680c14-47ac-448c-bba9-4a6f04fe614b
53f4d6e0dabfaef55bf80aa3,1fa0603d-6f29-45cb-aec9-88673f880d93
53f45a64dabfaeb22f510298,aa4f78e2-e127-4bb3-888e-3ce06c00c155
53f5b8d3dabfae5537f8045b,cb7d3823-b97a-45c0-a3f2-a1e39c2b1985
53f451b9dabfaee2a1d61b52,cce14178-7a68-4eb2-bb28-4ac2f449062b
